OBJECTID,Structure,Type,Long,Lat
122,Splice Box,CL s/w box (small),-123.366112203976,48.431850303369
123,Light or Signal Pole,Light/signal pole,-123.357876366418,48.4352057210292
124,Splice Box,CL s/w box (small),-123.35787586824,48.4352094840444
125,Light or Signal Pole,Merc street lamp,-123.361432462013,48.4323771396657
126,Light or Signal Pole,Merc street lamp,-123.361490949243,48.4319738230907
127,Splice Box,CL s/w box (small),-123.361497624806,48.431979151501
128,Light or Signal Pole,Merc street lamp,-123.361549808318,48.4321990480962
129,Splice Box,CL s/w box (small),-123.36155640815,48.4321980764505
130,Splice Box,CL s/w box (small),-123.358304128958,48.4338123985359
131,Splice Box,CL s/w box (small),-123.358456521107,48.4326782782196
132,Splice Box,CL s/w box (small),-123.358236067886,48.4328342005929
133,Splice Box,CL s/w box (small),-123.358103430495,48.4334508047349
134,Splice Box,CL s/w box (small),-123.358112898658,48.433804798561
135,Splice Box,CL s/w box (small),-123.357955512544,48.4348608819889
136,Splice Box,CL s/w box (small),-123.359400549937,48.4353081947831
137,Splice Box,CL s/w box (small),-123.367375638756,48.4318349262286
138,Private lamp std,Private lamp std,-123.359598019622,48.4363409353033
139,Splice Box,CL s/w box (small),-123.358218927519,48.4344629080864
140,Splice Box,CL s/w box (small),-123.358277355744,48.4340189262286
141,Light or Signal Pole,Merc street lamp,-123.356436873285,48.4309093573489
142,Splice Box,CL s/w box (small),-123.356428639672,48.4309185350415
143,Splice Box,CL s/w box (small),-123.355573026477,48.4305602564373
144,Splice Box,CL s/w box (small),-123.355628134816,48.4305340654522
145,Light or Signal Pole,Merc street lamp,-123.35569871028,48.430225975309
146,Splice Box,CL s/w box (small),-123.3556746664,48.4302244410219
147,Light or Signal Pole,Merc street lamp,-123.355849064744,48.4304199522834
148,Splice Box,CL s/w box (small),-123.355703544452,48.4300145322738
149,Splice Box,CL s/w box (small),-123.355887548008,48.430018798259
150,Light or Signal Pole,Merc street lamp,-123.355905197277,48.4300200958713
151,Splice Box,CL s/w box (small),-123.355968145857,48.4305875111273
152,Light or Signal Pole,Merc street lamp,-123.362496364663,48.4346223095019
153,Private lamp std,Private lamp std,-123.359760310365,48.4310083615562
154,Private lamp std,Private lamp std,-123.359740695252,48.4311510002849
155,Private lamp std,Private lamp std,-123.359737737373,48.4311902867016
156,Private lamp std,Private lamp std,-123.359723887367,48.4312753618281
157,Splice Box,CL s/w box (small),-123.359747983195,48.4317806917189
158,Splice Box,CL s/w box (large),-123.362477502351,48.4356372741654
159,Splice Box,CL s/w box (small),-123.362431225512,48.4356822469396
160,Light or Signal Pole,Light/signal pole,-123.362506723649,48.4356314793093
161,Splice Box,CL s/w box (small),-123.362683162652,48.4356752628811
162,Light or Signal Pole,Signal standard,-123.362678594571,48.4357005962912
163,Light or Signal Pole,Merc street lamp,-123.361861196774,48.4355933335643
164,Private lamp std,Private lamp std,-123.361745542309,48.4356190886702
165,Light or Signal Pole,Signal standard,-123.36253062761,48.435458657467
166,Splice Box,CL s/w box (small),-123.36251294441,48.4353446114476
167,Splice Box,CL s/w box (small),-123.361904647465,48.4354495084258
168,Splice Box,CL s/w box (small),-123.356870144682,48.4307386835013
169,Splice Box,CL s/w box (small),-123.356399223653,48.4307199740366
